Date, Open, High, Low, Close
11/12/20,29231.91,29311.83,28902.13,29080.17
11/11/20,29524.35,29593.11,29281.22,29397.63
11/10/20,29254.17,29478.86,29126.99,29420.92
11/09/20,29467.9,29933.83,29130.66,29157.97
11/06/20,28399.13,28431.96,28189.5,28323.4
11/05/20,28083.37,28495.05,28083.37,28390.18
11/04/20,27512.83,28301.5,27512.83,27847.66
11/03/20,27138.69,27640.21,27138.69,27480.03
11/02/20,26691.28,27043.48,26691.28,26925.05
10/30/20,26572.27,26639.18,26143.77,26501.6
10/29/20,26480.98,26891.89,26290.78,26659.11
10/28/20,27102.14,27102.14,26497.39,26519.95
10/27/20,27651.18,27707.69,27457.96,27463.19
10/26/20,28185.82,28185.82,27370.16,27685.38
10/23/20,28409.65,28436.52,28149.82,28335.57
10/22/20,28197.42,28421.31,28040.18,28363.66
10/21/20,28270.66,28450.64,28196.39,28210.82
10/20/20,28245.85,28575.03,28243.04,28308.79
10/19/20,28633.55,28711.93,28139.4,28195.42
10/16/20,28570.72,28842.9,28570.72,28606.31
10/15/20,28323.4,28535.85,28181.54,28494.2
10/14/20,28731.3,28792.56,28461.73,28514
10/13/20,28764.95,28808.84,28604.35,28679.81
10/12/20,28671.12,28957.9,28659.67,28837.52
10/09/20,28533.61,28676.29,28440.63,28586.9
10/08/20,28348.86,28459.13,28265.56,28425.51
10/07/20,27971.36,28369.66,27971.36,28303.46
10/06/20,28214.24,28354.48,27728.03,27772.76
10/05/20,27825.42,28162.64,27825.42,28148.64
10/02/20,27536.39,27861.43,27382.94,27682.81
10/01/20,27940.63,28041.46,27669.26,27816.9
09/30/20,27514.64,28026.33,27511.06,27781.7
09/29/20,27560.24,27605.6,27338.09,27452.66
09/28/20,27362.14,27722.6,27362.14,27584.06
09/25/20,26694.51,27239.29,26635.38,27173.96
09/24/20,26716.09,27094.85,26537.01,26815.44
09/23/20,27413.6,27464.46,26716.12,26763.13
09/22/20,27170.34,27333.09,26989.93,27288.18
09/21/20,27484.71,27484.71,26715.15,27147.7
09/18/20,27864.87,27946.69,27487.97,27657.42
09/17/20,27834.18,28056.79,27647.93,27901.98
09/16/20,28031.69,28364.77,28021.67,28032.38
09/15/20,28139.76,28231.06,27931.45,27995.6
09/14/20,27718.74,28086.06,27718.74,27993.33
09/11/20,27613.86,27828.82,27448.15,27665.64
09/10/20,28022.51,28174.78,27447.08,27534.58
09/09/20,27711.71,28206.21,27704.54,27940.47
09/08/20,27925.23,27925.23,27464.9,27500.89
09/04/20,28341.05,28539.75,27664.68,28133.31
09/03/20,29090.7,29199.35,28074.76,28292.73
09/02/20,28736.79,29162.88,28713.53,29100.5
09/01/20,28439.61,28659.26,28290.72,28645.66
08/31/20,28643.66,28643.66,28363.55,28430.05
08/28/20,28601.29,28733.35,28487.98,28653.87
08/27/20,28384.07,28634.22,28363.93,28492.27
08/26/20,28257.88,28353.8,28153.91,28331.92
08/25/20,28347.42,28400.74,28094.57,28248.44
08/24/20,28077.58,28314.94,28041.75,28308.46
08/21/20,27758.13,27959.48,27686.78,27930.33
08/20/20,27622.68,27781.46,27526.25,27739.73
08/19/20,27811.26,27920.42,27647.67,27692.88
08/18/20,27853.48,27891.12,27668.79,27778.07
08/17/20,27970.05,27999.81,27816.4,27844.91
08/14/20,27828.93,27977.81,27759.39,27931.02
08/13/20,27922.51,27986.1,27789.78,27896.72
08/12/20,27860.24,28043.89,27843.32,27976.84
08/11/20,27961.64,28154.88,27624.51,27686.91
08/10/20,27488.21,27803.86,27488.21,27791.44
08/07/20,27321.68,27456.24,27223.55,27433.48
08/06/20,27170.82,27394.1,27145.25,27386.98
08/05/20,26924.78,27221.67,26924.78,27201.52
08/04/20,26664.61,26832.72,26597.82,26828.47
08/03/20,26542.32,26707.26,26534.38,26664.4
07/31/20,26409.33,26440.02,26013.59,26428.32
07/30/20,26367.42,26374.93,25992.28,26313.65
07/29/20,26388.44,26602.45,26375.39,26539.57
07/28/20,26529.45,26556.84,26361.71,26379.28
07/27/20,26447.67,26625.46,26426.92,26584.77
07/24/20,26533.41,26625.7,26402.86,26469.89
07/23/20,26955.97,26973.85,26560.04,26652.33
07/22/20,26824.56,27035.24,26794.19,27005.84
07/21/20,26833.14,27025.38,26766.22,26840.4
07/20/20,26660.29,26765.02,26504.2,26680.87
07/17/20,26774.62,26808.43,26619.88,26671.95
07/16/20,26746.57,26879.16,26590.01,26734.71
07/15/20,27009.81,27071.33,26692.48,26870.1
07/14/20,26044.17,26690.52,25994.98,26642.59
07/13/20,26225.07,26639.09,26044.23,26085.8
07/10/20,25690.35,26101.32,25637.5,26075.3
07/09/20,26094.92,26103.28,25523.51,25706.09
07/08/20,25950.06,26109.49,25816.25,26067.28
07/07/20,26172.01,26174.93,25866.58,25890.18
07/06/20,25996.08,26297.53,25996.08,26287.03
07/02/20,25936.45,26204.41,25778.12,25827.36
07/01/20,25879.38,26019.31,25713.61,25734.97
06/30/20,25512.43,25905.38,25475.14,25812.88
06/29/20,25152.45,25601.15,25096.16,25595.8
06/26/20,25641.69,25641.69,24971.03,25015.55
06/25/20,25365.22,25769.61,25209.79,25745.6
06/24/20,25992.96,25992.96,25296.73,25445.94
06/23/20,26159.39,26314.97,26105.97,26156.1
06/22/20,25865.08,26059.81,25667.68,26024.96
06/19/20,26213.1,26451.44,25759.66,25871.46
06/18/20,26016.45,26154.2,25848.53,26080.1
06/17/20,26330.52,26400.07,26068.41,26119.61
06/16/20,26326.68,26611.03,25811.7,26289.98
06/15/20,25270.39,25891.58,24843.18,25763.16
06/12/20,25659.42,25965.55,25078.41,25605.54
06/11/20,26282.51,26294.08,25082.72,25128.17
06/10/20,27251.89,27355.22,26938.05,26989.99
06/09/20,27447.37,27447.37,27151.06,27272.3
06/08/20,27232.93,27580.21,27232.48,27572.44
06/05/20,26836.8,27338.3,26836.8,27110.98
06/04/20,26226.49,26384.1,26082.31,26281.82
06/03/20,25906.88,26337.75,25906.88,26269.89
06/02/20,25582.52,25743.13,25523.74,25742.65
06/01/20,25342.99,25508.83,25220.66,25475.02
05/29/20,25324.15,25482.8,25031.67,25383.11
05/28/20,25697.36,25758.79,25358.73,25400.64
05/27/20,25298.63,25551.56,25009.87,25548.27
05/26/20,24781.84,25176.42,24781.84,24995.11
05/22/20,24461.98,24481.64,24294.07,24465.16
05/21/20,24564.27,24718.46,24370.88,24474.12
05/20/20,24455.94,24649.48,24455.94,24575.9
05/19/20,24577.48,24599.5,24202.96,24206.86
05/18/20,24059.98,24708.54,24059.98,24597.37
05/15/20,23454.83,23730.08,23354.15,23685.42
05/14/20,23049.06,23630.86,22789.62,23625.34
05/13/20,23702.16,23708.9,23067.64,23247.97
05/12/20,24292.84,24382.09,23761.58,23764.78
05/11/20,24256.45,24366.21,24070.22,24221.99
05/08/20,24107.82,24349.9,24107.05,24331.32
05/07/20,23837.21,24094.62,23834.39,23875.89
05/06/20,23978.88,24054.59,23661.14,23664.64
05/05/20,23958.88,24169.72,23868.91,23883.09
05/04/20,23581.55,23769.56,23361.16,23749.76
05/01/20,24120.78,24120.78,23645.3,23723.69
04/30/20,24585.57,24585.57,24186.9,24345.72
04/29/20,24490.37,24764.77,24453.99,24633.86
04/28/20,24357.17,24512.24,24031.2,24101.55
04/27/20,23866.15,24207.65,23840.61,24133.78
04/24/20,23628.24,23826,23417.68,23775.27
04/23/20,23543.09,23885.36,23483.35,23515.26
04/22/20,23437.34,23613.1,23339.6,23475.82
04/21/20,23365.25,23365.25,22941.88,23018.88
04/20/20,24095.1,24108.69,23627.19,23650.44
04/17/20,23817.15,24264.21,23817.15,24242.49
04/16/20,23543.66,23598.08,23211.38,23537.68
04/15/20,23600.72,23649.72,23233.32,23504.35
04/14/20,23690.57,24040.58,23683.44,23949.76
04/13/20,23698.93,23698.93,23095.35,23390.77
04/09/20,23690.66,24008.99,23504.09,23719.37
04/08/20,22893.47,23513.4,22682.99,23433.57
04/07/20,23537.44,23617.24,22634.45,22653.86
04/06/20,21693.63,22783.45,21693.63,22679.99
04/03/20,21285.93,21447.81,20863.09,21052.53
04/02/20,20819.46,21477.77,20735.02,21413.44
04/01/20,21227.38,21487.24,20784.43,20943.51
03/31/20,22208.42,22480.37,21852.08,21917.16
03/30/20,21678.22,22378.09,21522.08,22327.48
03/27/20,21898.47,22327.57,21469.27,21636.78
03/26/20,21468.38,22595.06,21427.1,22552.17
03/25/20,21050.34,22019.93,20538.34,21200.55
03/24/20,19722.19,20737.7,19649.25,20704.91
03/23/20,19028.36,19121.01,18213.65,18591.93
03/20/20,20253.15,20531.26,19094.27,19173.98
03/19/20,19830.01,20442.63,19177.13,20087.19
03/18/20,20188.69,20489.33,18917.46,19898.92
03/17/20,20487.05,21379.35,19882.26,21237.38
03/16/20,20917.53,21768.28,20116.46,20188.52
03/13/20,21973.82,23189.76,21285.37,23185.62
03/12/20,22184.71,22837.95,21154.46,21200.62
03/11/20,24604.63,24604.63,23328.32,23553.22
03/10/20,24453,25020.99,23690.34,25018.16
03/09/20,24992.36,24992.36,23706.07,23851.02
03/06/20,25457.21,25994.38,25226.62,25864.78
03/05/20,26671.92,26671.92,25943.33,26121.28
03/04/20,26383.68,27102.34,26286.31,27090.86
03/03/20,26762.47,27084.59,25706.28,25917.41
03/02/20,25590.51,26706.17,25391.96,26703.32
02/28/20,25270.83,25494.24,24681.01,25409.36
02/27/20,26526,26775.31,25752.82,25766.64
02/26/20,27159.46,27542.78,26890.97,26957.59
02/25/20,28037.65,28149.2,26997.62,27081.36
02/24/20,28402.93,28402.93,27912.44,27960.8
02/21/20,29146.53,29146.53,28892.7,28992.41
02/20/20,29296.25,29368.45,28959.65,29219.98
02/19/20,29312.7,29409.09,29274.38,29348.03
02/18/20,29282.78,29330.16,29116.81,29232.19
02/17/20,29398.08,29398.08,29398.08,29398.08
02/14/20,29440.47,29463.04,29283.18,29398.08
02/13/20,29436.03,29535.4,29345.93,29423.31
02/12/20,29406.75,29568.57,29406.75,29551.42
02/11/20,29390.71,29415.39,29210.47,29276.34
02/10/20,28995.66,29278.07,28995.66,29276.82
02/07/20,29286.92,29286.92,29056.98,29102.51
02/06/20,29388.58,29408.05,29246.93,29379.77
02/05/20,29048.73,29308.89,29000.85,29290.85
02/04/20,28696.74,28904.88,28696.74,28807.63
02/03/20,28319.65,28630.39,28319.65,28399.81
01/31/20,28813.04,28813.04,28169.53,28256.03
01/30/20,28640.16,28879.71,28489.76,28859.44
